2020-04-24 13:44:23,687 [AUDIT] Token created by 'jfrt@01e6gkzhtba2gz14rj5jrj009s': tokenId='6390395e-2a2b-42c9-bada-375990275828', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=2533815863679, refreshable=false
2020-04-24 13:44:28,974 [AUDIT] Token created by 'anonymous': tokenId='16d58642-4e8a-47e8-b893-3e9c312c60c0', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-24 13:44:29,023 [AUDIT] Token created by 'jffe@000': tokenId='29541ea0-1304-4c4d-9f28-7740a5b6620a', issuer='jffe@000', subject='jffe@000', expiry=1587736469020, refreshable=false
2020-04-27 11:35:53,778 [AUDIT] Token created by 'anonymous': tokenId='deb4ca52-4b02-41b7-bfea-a38f6c1db602', issuer='jfrou@01e6gkz5mj75e8whsva5r4rjc6', subject='jfrou@01e6gkz5mj75e8whsva5r4rjc6', expiry=none, refreshable=false
2020-04-27 11:36:00,464 [AUDIT] Token created by 'anonymous': tokenId='60486998-f60a-423b-af8e-3539524f3dfd', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587987480459, refreshable=false
2020-04-27 11:36:00,960 [AUDIT] Token created by 'anonymous': tokenId='798aaddc-2377-400f-9693-38b15d333931', issuer='jfmd@01e6gkz74qm614k82x689eq128', subject='jfmd@01e6gkz74qm614k82x689eq128', expiry=none, refreshable=false
2020-04-27 11:36:01,035 [AUDIT] Token created by 'anonymous': tokenId='e673d638-6d0e-475b-8e7b-0a3d3d8ba795', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=none, refreshable=false
2020-04-27 11:36:02,589 [AUDIT] Token created by 'jfrt@01e6gkzhtba2gz14rj5jrj009s': tokenId='6c3980f1-5d22-4ee1-8931-376362d3c4b3', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=2534067362585, refreshable=false
2020-04-27 11:36:08,292 [AUDIT] Token created by 'anonymous': tokenId='d337a957-2772-40f2-a68b-b631d602ae51', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-27 11:36:08,338 [AUDIT] Token created by 'jffe@000': tokenId='56514423-b246-432a-8aa4-bd9a61242140', issuer='jffe@000', subject='jffe@000', expiry=1587987968334, refreshable=false
2020-04-27 11:46:10,728 [AUDIT] Token created by 'jffe@000': tokenId='2089eaea-140f-4247-b999-36f34034c2e8', issuer='jffe@000', subject='jffe@000', expiry=1587988570727, refreshable=false
2020-04-27 11:46:10,737 [AUDIT] Token created by 'jffe@000': tokenId='80d2bf24-c607-4cd9-9563-253813413dbd', issuer='jffe@000', subject='jffe@000', expiry=1587988570727, refreshable=false
2020-04-27 11:46:10,753 [AUDIT] Token created by 'jffe@000': tokenId='4fc43712-5c81-4bd2-b15b-017a73358253', issuer='jffe@000', subject='jffe@000', expiry=1587988570746, refreshable=false
2020-04-27 11:46:10,759 [AUDIT] Token created by 'jffe@000': tokenId='9271af78-3556-44e3-8bd2-469ce8ebbbbd', issuer='jffe@000', subject='jffe@000', expiry=1587988570735, refreshable=false
2020-04-27 11:56:10,743 [AUDIT] Token created by 'jffe@000': tokenId='2f052eb5-7756-448a-86e2-23401013378f', issuer='jffe@000', subject='jffe@000', expiry=1587989170738, refreshable=false
2020-04-27 11:56:10,747 [AUDIT] Token created by 'jffe@000': tokenId='dca47c11-d553-4183-b2b8-fe8a779cee46', issuer='jffe@000', subject='jffe@000', expiry=1587989170739, refreshable=false
2020-04-27 11:56:10,753 [AUDIT] Token created by 'jffe@000': tokenId='27dc0d02-51a4-4856-9346-c53339f113fe', issuer='jffe@000', subject='jffe@000', expiry=1587989170739, refreshable=false
2020-04-27 11:56:10,763 [AUDIT] Token created by 'jffe@000': tokenId='27052f24-7b9f-4ce0-bdf3-735002642ea5', issuer='jffe@000', subject='jffe@000', expiry=1587989170745, refreshable=false
2020-05-08 16:37:53,667 [AUDIT] Token created by 'anonymous': tokenId='044fdbaf-7b97-4f3a-99f5-fe9bc7497d49', issuer='jfrou@01e6gkz5mj75e8whsva5r4rjc6', subject='jfrou@01e6gkz5mj75e8whsva5r4rjc6', expiry=none, refreshable=false
2020-05-08 16:38:00,977 [AUDIT] Token created by 'anonymous': tokenId='fa8d3e01-696e-4d66-adb9-067ae1a83ec3', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1588956000963, refreshable=false
2020-05-08 16:38:01,171 [AUDIT] Token created by 'anonymous': tokenId='e0fba5d0-34d2-4c2e-b408-4772c7a3352d', issuer='jfmd@01e6gkz74qm614k82x689eq128', subject='jfmd@01e6gkz74qm614k82x689eq128', expiry=none, refreshable=false
2020-05-08 16:38:01,854 [AUDIT] Token created by 'anonymous': tokenId='b46a645e-6b5b-4445-add8-9e804b831497', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=none, refreshable=false
2020-05-08 16:38:03,919 [AUDIT] Token created by 'jfrt@01e6gkzhtba2gz14rj5jrj009s': tokenId='a141a795-e3d2-40e4-a946-ea089c9bd30a', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=2535035883917, refreshable=false
2020-05-08 16:38:11,533 [AUDIT] Token created by 'anonymous': tokenId='1175882b-b180-45be-9956-376442883b71', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-08 16:38:11,616 [AUDIT] Token created by 'jffe@000': tokenId='b2e6f524-7b6e-477a-823d-146fb4b1a348', issuer='jffe@000', subject='jffe@000', expiry=1588956491611, refreshable=false
2020-05-08 16:38:21,470 [AUDIT] Token created by 'jffe@000': tokenId='7b7474da-0004-4816-b547-f88d5cbd07bc', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1588956501464, refreshable=false
2020-05-08 16:38:21,477 [AUDIT] Token created by 'jffe@000': tokenId='c935909e-e8a0-44af-84e8-d60bf0596446', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1588956501465, refreshable=false
2020-05-08 16:38:27,043 [AUDIT] Token created by 'jffe@000': tokenId='74bf1b9e-c084-4b49-9308-63b2ade6444d', issuer='jffe@000', subject='admin', expiry=1588957707026, refreshable=true
2020-05-08 16:38:27,232 [AUDIT] Token created by 'jffe@000': tokenId='68144f64-e257-4e61-8582-cabcf4bb321d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588956507227, refreshable=false
2020-05-08 16:38:27,262 [AUDIT] Token created by 'jffe@000': tokenId='75298d79-9a17-4892-8803-e441c78d74df', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588956507257, refreshable=false
2020-05-08 16:38:28,101 [AUDIT] Token created by 'jffe@000': tokenId='a402ad95-4e31-4dd5-b65a-b1f1bac7d59d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588956508089, refreshable=false
2020-05-08 16:43:35,554 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='74bf1b9e-c084-4b49-9308-63b2ade6444d', tokenId='3743e8f1-e105-487a-91b2-5dfdcfbf6596', issuer='jffe@000', subject='admin', expiry=1588958015515, refreshable=true
2020-05-08 16:43:35,565 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='74bf1b9e-c084-4b49-9308-63b2ade6444d', tokenId='f10752f7-8721-4d24-9676-4280afaabca3', issuer='jffe@000', subject='admin', expiry=1588958015500, refreshable=true
2020-05-08 16:43:35,565 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='74bf1b9e-c084-4b49-9308-63b2ade6444d', tokenId='2d210425-4c12-4d1e-a6ab-1f5b0fb8d250', issuer='jffe@000', subject='admin', expiry=1588958015518, refreshable=true
2020-05-08 16:43:35,565 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='74bf1b9e-c084-4b49-9308-63b2ade6444d', tokenId='19028931-54fd-4429-b93b-9f4b5ef36a16', issuer='jffe@000', subject='admin', expiry=1588958015528, refreshable=true
2020-05-08 16:46:03,397 [AUDIT] Token created by 'jffe@000': tokenId='6eff0fe3-dc19-407c-8eeb-d06148c03761', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588956963394, refreshable=false
2020-05-08 16:46:27,213 [AUDIT] Token created by 'jffe@000': tokenId='94eee019-1910-4af6-9bc7-ecc86d32eb8d', issuer='jffe@000', subject='panda', expiry=1588958187210, refreshable=true
2020-05-08 16:46:27,317 [AUDIT] Token created by 'jffe@000': tokenId='31536a8b-6680-49b6-a7db-493bc9bac343', issuer='jffe@000', subject='jffe@000/users/panda', expiry=1588956987304, refreshable=false
2020-05-08 16:47:06,844 [AUDIT] Token created by 'jffe@000': tokenId='7534f076-22e0-4b66-ad8f-c9aeb92c582a', issuer='jffe@000', subject='admin', expiry=1588958226834, refreshable=true
2020-05-08 16:47:06,946 [AUDIT] Token created by 'jffe@000': tokenId='c74b15df-f9d8-461c-aa54-36dffe6ad2fa', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957026942, refreshable=false
2020-05-08 16:47:06,975 [AUDIT] Token created by 'jffe@000': tokenId='d13b2ca4-bbec-4c60-9bbd-3e229b8e6481', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957026946, refreshable=false
2020-05-08 16:47:07,478 [AUDIT] Token created by 'jffe@000': tokenId='fb33475c-1482-4d03-b4db-f7409dc7cf63', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957027474, refreshable=false
2020-05-08 16:47:19,046 [AUDIT] Token created by 'jffe@000': tokenId='770e9256-7dda-45b9-9cdc-7eaec6373fdc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588957039042, refreshable=false
2020-05-08 16:47:50,527 [AUDIT] Token created by 'jffe@000': tokenId='38cd3e12-ea17-4354-a4fe-9e5806d69757', issuer='jffe@000', subject='panda', expiry=1588958270523, refreshable=true
2020-05-08 16:47:50,632 [AUDIT] Token created by 'jffe@000': tokenId='c6e91790-9b63-4b9e-aed5-3e6af44b57b7', issuer='jffe@000', subject='jffe@000/users/panda', expiry=1588957070627, refreshable=false
2020-05-08 16:47:59,700 [AUDIT] Token created by 'jffe@000': tokenId='e10a127b-5bd6-406f-8d38-152184c230d1', issuer='jffe@000', subject='admin', expiry=1588958279691, refreshable=true
