2020-05-08T16:44:20.541Z|6493532ad095e0d0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/validations/name?name=Maven|200|25|-|10.437|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:42.324Z|50b436f5309428de|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|55.022|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:42.777Z|2bbb8a7d5b7ef727|::ffff:127.0.0.1|admin|POST|/api/v1/ui/groups|201|45|133|253.038|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:42.829Z|644bfd1e0e3b9761|::ffff:127.0.0.1|admin|GET|/api/v1/ui/groups?jfLoader=true|200|515|-|12.623|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:53.517Z|2b50b7cd569282e9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?permission=true|200|481|-|6.922|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:53.713Z|7db80fb6b9097788|::ffff:127.0.0.1|admin|GET|/api/v1/ui/permissiontargets/allUsersGroups|200|213|-|182.750|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:53.743Z|1f9e4c1d08c9bddc|::ffff:127.0.0.1|admin|GET|/api/v1/ui/builds/names|200|3|-|217.606|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:54.403Z|66eb8c4527e9a7b1|::ffff:127.0.0.1|admin|GET|/api/v1/ui/builds/repository|200|38|-|20.558|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:45:07.300Z|46a2163aceb37ca2|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|31.170|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:45:32.294Z|1819fb1e0cade3dd|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|23.622|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
